Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jack Hughes (26671762),Jack Hughes,26671762,C/UTIL,8700,NJ@MIN 02/11/2023 08:00PM ET,NJ,18.16
C,Auston Matthews (26671764),Auston Matthews,26671764,C/UTIL,8600,CLS@TOR 02/11/2023 07:00PM ET,TOR,17.51
G,Connor Hellebuyck (26672442),Connor Hellebuyck,26672442,G,8500,CHI@WPG 02/11/2023 10:00PM ET,WPG,16.51
G,Ilya Samsonov (26672443),Ilya Samsonov,26672443,G,8400,CLS@TOR 02/11/2023 07:00PM ET,TOR,14.91
G,David Rittich (26672444),David Rittich,26672444,G,8300,CHI@WPG 02/11/2023 10:00PM ET,WPG,12.22
G,Joseph Woll (26672447),Joseph Woll,26672447,G,8200,CLS@TOR 02/11/2023 07:00PM ET,TOR,0
G,Frederik Andersen (26672445),Frederik Andersen,26672445,G,8200,NYR@CAR 02/11/2023 07:00PM ET,CAR,11.73
G,Antti Raanta (26672446),Antti Raanta,26672446,G,8200,NYR@CAR 02/11/2023 07:00PM ET,CAR,11.95
G,Jordan Binnington (26672448),Jordan Binnington,26672448,G,8100,ARI@STL 02/11/2023 08:00PM ET,STL,10.63
G,Thomas Greiss (26672449),Thomas Greiss,26672449,G,8100,ARI@STL 02/11/2023 08:00PM ET,STL,13.51
G,Pheonix Copley (26672450),Pheonix Copley,26672450,G,7900,PIT@LA 02/11/2023 10:30PM ET,LA,12.1
LW,Kirill Kaprizov (26671918),Kirill Kaprizov,26671918,W/UTIL,7800,NJ@MIN 02/11/2023 08:00PM ET,MIN,15.7
G,Marc-Andre Fleury (26672451),Marc-Andre Fleury,26672451,G,7800,NJ@MIN 02/11/2023 08:00PM ET,MIN,12.08
G,Filip Gustavsson (26672452),Filip Gustavsson,26672452,G,7800,NJ@MIN 02/11/2023 08:00PM ET,MIN,14.45
LW,Kyle Connor (26671920),Kyle Connor,26671920,W/UTIL,7700,CHI@WPG 02/11/2023 10:00PM ET,WPG,14.09
G,Jonathan Quick (26672453),Jonathan Quick,26672453,G,7700,PIT@LA 02/11/2023 10:30PM ET,LA,8.03
G,Vitek Vanecek (26672454),Vitek Vanecek,26672454,G,7600,NJ@MIN 02/11/2023 08:00PM ET,NJ,13.5
C,Sidney Crosby (26671766),Sidney Crosby,26671766,C/UTIL,7600,PIT@LA 02/11/2023 10:30PM ET,PIT,13.68
D,Dougie Hamilton (26672206),Dougie Hamilton,26672206,D/UTIL,7500,NJ@MIN 02/11/2023 08:00PM ET,NJ,14.29
G,Casey DeSmith (26672455),Casey DeSmith,26672455,G,7500,PIT@LA 02/11/2023 10:30PM ET,PIT,13.32
G,Dustin Tokarski (26672456),Dustin Tokarski,26672456,G,7500,PIT@LA 02/11/2023 10:30PM ET,PIT,14.65
RW,William Nylander (26671922),William Nylander,26671922,W/UTIL,7400,CLS@TOR 02/11/2023 07:00PM ET,TOR,14.16
G,MacKenzie Blackwood (26672457),MacKenzie Blackwood,26672457,G,7400,NJ@MIN 02/11/2023 08:00PM ET,NJ,11.38
RW,Patrik Laine (26671924),Patrik Laine,26671924,W/UTIL,7300,CLS@TOR 02/11/2023 07:00PM ET,CLS,12.67
C,Mika Zibanejad (26671768),Mika Zibanejad,26671768,C/UTIL,7300,NYR@CAR 02/11/2023 07:00PM ET,NYR,14.07
G,Karel Vejmelka (26672458),Karel Vejmelka,26672458,G,7300,ARI@STL 02/11/2023 08:00PM ET,ARI,14.26
G,Connor Ingram (26672459),Connor Ingram,26672459,G,7300,ARI@STL 02/11/2023 08:00PM ET,ARI,12.42
C,John Tavares (26671770),John Tavares,26671770,C/UTIL,7200,CLS@TOR 02/11/2023 07:00PM ET,TOR,13.61
G,Igor Shesterkin (26672460),Igor Shesterkin,26672460,G,7200,NYR@CAR 02/11/2023 07:00PM ET,NYR,14.91
LW,Nikolaj Ehlers (26671926),Nikolaj Ehlers,26671926,W/UTIL,7200,CHI@WPG 02/11/2023 10:00PM ET,WPG,12.74
RW,Jordan Kyrou (26671928),Jordan Kyrou,26671928,W/UTIL,7100,ARI@STL 02/11/2023 08:00PM ET,STL,13.83
G,Joonas Korpisalo (26672461),Joonas Korpisalo,26672461,G,7000,CLS@TOR 02/11/2023 07:00PM ET,CLS,13.43
G,Jaroslav Halak (26672462),Jaroslav Halak,26672462,G,7000,NYR@CAR 02/11/2023 07:00PM ET,NYR,11.54
D,Jakob Chychrun (26672208),Jakob Chychrun,26672208,D/UTIL,7000,ARI@STL 02/11/2023 08:00PM ET,ARI,12.59
LW,Jake Guentzel (26671930),Jake Guentzel,26671930,W/UTIL,7000,PIT@LA 02/11/2023 10:30PM ET,PIT,12.98
RW,Mats Zuccarello (26671932),Mats Zuccarello,26671932,W/UTIL,6900,NJ@MIN 02/11/2023 08:00PM ET,MIN,12.58
G,Petr Mrazek (26672463),Petr Mrazek,26672463,G,6900,CHI@WPG 02/11/2023 10:00PM ET,CHI,9.53
G,Jaxson Stauber (26672464),Jaxson Stauber,26672464,G,6900,CHI@WPG 02/11/2023 10:00PM ET,CHI,17.9
RW,Mitchell Marner (26671934),Mitchell Marner,26671934,W/UTIL,6800,CLS@TOR 02/11/2023 07:00PM ET,TOR,12.25
G,Elvis Merzlikins (26672465),Elvis Merzlikins,26672465,G,6800,CLS@TOR 02/11/2023 07:00PM ET,CLS,6.31
D,Adam Fox (26672210),Adam Fox,26672210,D/UTIL,6800,NYR@CAR 02/11/2023 07:00PM ET,NYR,11.62
LW,Kevin Fiala (26671936),Kevin Fiala,26671936,W/UTIL,6700,PIT@LA 02/11/2023 10:30PM ET,LA,12.05
