Name,Team,GP,GAA,SVPCT,W,L,OTL,GA,SV,SOG,SO,TOI,G,A,P,PIM
Jaroslav Halak,NYR,1,2.01,0.931,1,0,0,2,27,29,0,59:50:00,0,0,0,0
Jacob Markström,CGY,1,2,0.913,1,0,0,2,21,23,0,60:00:00,0,1,1,0
Darcy Kuemper,WSH,1,1,0.964,1,0,0,1,27,28,0,60:00:00,0,0,0,0
Jordan Binnington,STL,1,4.92,0.821,1,0,0,5,23,28,0,61:02:00,0,0,0,0
Jack Campbell,EDM,1,3.01,0.897,1,0,0,3,26,29,0,59:43:00,0,0,0,0
Andrei Vasilevski,TBL,1,1,0.966,1,0,0,1,28,29,0,59:57:00,0,0,0,0
Elvis Merzlikins,CBJ,1,3,0.897,1,0,0,3,26,29,0,60:00:00,0,0,0,0
Ville Husso,DET,1,2.03,0.941,1,0,0,2,32,34,0,59:00:00,0,0,0,0
Juuse Saros,NSH,1,1,0.958,1,0,0,1,23,24,0,60:11:00,0,0,0,0
Pheonix Copley,LAK,1,0,1,1,0,0,0,25,25,1,60:00:00,0,0,0,0
Connor Hellebuyck,WPG,1,1,0.969,1,0,0,1,31,32,0,60:00:00,0,0,0,0
Alexandar Georgiev,COL,1,3,0.933,1,0,0,3,42,45,0,60:00:00,0,0,0,0
Filip Gustavsson,MIN,1,1.85,0.931,1,0,0,2,27,29,0,65:00:00,0,0,0,0
Samuel Montembeault,MTL,1,2.78,0.9,1,0,0,3,27,30,0,64:38:00,0,0,0,0
Semyon Varlamov,NYI,1,3.74,0.871,0,0,1,4,27,31,0,64:07:00,0,0,0,0
Dustin Tokarski,PIT,1,4.75,0.813,0,0,0,3,13,16,0,37:52:00,0,0,0,0
Sergei Bobrovsky,FLA,1,4.14,0.918,0,1,0,4,45,49,0,57:59:00,0,0,0,0
Anton Forsberg,OTT,1,6.59,0.838,0,1,0,6,31,37,0,54:37:00,0,0,0,0
Frederik Andersen,CAR,1,5.05,0.722,0,1,0,5,13,18,0,59:26:00,0,0,0,0
Petr Mrazek,CHI,1,3.18,0.889,0,1,0,3,24,27,0,56:37:00,0,0,0,0
Scott Wedgewood,DAL,1,2.01,0.933,0,1,0,2,28,30,0,59:43:00,0,0,0,0
Vitek Vanecek,NJD,1,1.85,0.917,0,0,1,2,22,24,0,65:00:00,0,0,0,0
Spencer Martin,VAN,1,5,0.8,0,1,0,5,20,25,0,60:00:00,0,0,0,0
Karel Vejmelka,ARI,1,5.96,0.838,0,0,1,6,31,37,0,60:24:00,0,0,0,0
Casey DeSmith,PIT,1,8.19,0.8,0,1,0,3,12,15,0,21:58,0,0,0,0
Ukko-Pekka Luukkonen,BUF,1,7.03,0.825,0,1,0,7,33,40,0,59:45:00,0,0,0,0
Joseph Woll,TOR,1,4.22,0.9,0,1,0,4,36,40,0,56:56:00,0,0,0,0
Carter Hart,PHI,1,1.98,0.92,0,0,1,2,23,25,0,60:34:00,0,0,0,0
Jeremy Swayman,BOS,1,2.07,0.913,0,1,0,2,21,23,0,58:05:00,0,0,0,0
Mads Søgaard,OTT,1,0,1,0,0,0,0,3,3,0,5:23,0,0,0,0
