Name,Team,Pos,GP,G,A,P,PIM,X,TOIGP,TOIES,TOIPP,TOISH,ESG,PPG,SHG,GWG,OTG,SHOUTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPPPCT,GGP,AGP,PGP,SHOTS,SHPCT,HITS,BS
Artemi Panarin,NYR,F,1,4,1,5,2,4,15:31,14:43,0:48,0:00,4,0,0,1,0,0,0,1,0,0,0,4,1,0,1,0,20.00%,4,1,5,5,80.00%,0,0
Adrian Kempe,LAK,F,1,4,0,4,2,2,17:45,11:53,4:03,1:49,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,50.00%,4,0,4,7,57.10%,1,0
Nick Schmaltz,ARI,F,1,1,3,4,0,2,18:36,14:22,2:19,1:55,0,1,0,0,0,0,2,1,0,0,0,2,2,0,0,0,50.00%,1,3,4,2,50.00%,1,0
Dillon Dube,CGY,F,1,1,3,4,0,2,16:06,12:02,3:02,1:02,1,0,0,0,0,0,2,1,0,1,0,3,1,0,1,0,25.00%,1,3,4,3,33.30%,1,1
Juuso Välimäki,ARI,D,1,0,4,4,2,0,21:52,18:10,3:02,0:40,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,50.00%,0,4,4,1,0.00%,0,3
Blake Wheeler,WPG,F,1,2,1,3,0,1,17:08,14:45,2:23,0:00,1,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,33.30%,2,1,3,2,100.00%,0,0
Tyler Toffoli,CGY,F,1,2,1,3,0,2,14:25,11:26,2:59,0:00,1,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,33.30%,2,1,3,5,40.00%,1,0
Nathan MacKinnon,COL,F,1,2,1,3,0,0,23:55,18:41,5:05,0:09,1,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,33.30%,2,1,3,6,33.30%,1,1
Dylan Larkin,DET,F,1,2,1,3,0,1,22:29,13:00,8:07,1:22,1,1,0,1,0,0,0,1,0,0,0,1,2,0,1,0,66.70%,2,1,3,5,40.00%,0,1
Clayton Keller,ARI,F,1,2,1,3,0,2,20:49,14:46,3:01,3:02,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,33.30%,2,1,3,4,50.00%,0,0
