Name,Team,Pos,GP,G,A,P,PIM,X,TOIGP,TOIES,TOIPP,TOISH,ESG,PPG,SHG,GWG,OTG,SHOUTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPPPCT,GGP,AGP,PGP,SHOTS,SHPCT,HITS,BS
Connor McDavid,EDM,W,52,41,53,94,20,6,22:39,17:18,4:02,1:17,24,16,1,7,1,0,21,31,1,10,1,45,47,2,17,2,50.00%,0.788,1.019,1.808,217,18.90%,47,30
Leon Draisaitl,EDM,W,50,29,47,76,20,2,21:56,17:04,4:05,0:46,12,17,0,9,1,0,27,19,1,8,1,39,36,1,17,2,47.40%,0.58,0.94,1.52,148,19.60%,34,30
Nikita Kucherov,TBL,W,51,20,56,76,28,4,20:28,16:18,4:09,0:00,14,6,0,4,0,0,31,25,0,11,1,45,31,0,15,1,40.80%,0.392,1.098,1.49,171,11.70%,40,20
David Pastrnak,BOS,W,51,38,34,72,32,25,19:43,15:47,3:53,0:02,24,14,0,5,1,1,20,14,0,9,1,44,28,0,14,2,38.90%,0.745,0.667,1.412,245,15.50%,59,17
Matthew Tkachuk,FLA,W,51,27,44,71,74,15,20:16,15:38,4:09,0:28,17,10,0,2,0,0,28,15,1,7,0,45,25,1,9,0,35.20%,0.529,0.863,1.392,197,13.70%,34,24
Erik Karlsson,SJS,D,53,17,53,70,10,-3,25:26:00,21:56,3:18,0:12,13,4,0,4,2,0,39,14,0,4,1,52,18,0,8,3,25.70%,0.321,1,1.321,137,12.40%,25,58
Jason Robertson,DAL,W,53,33,36,69,14,29,18:49,15:41,3:07,0:00,26,7,0,5,0,3,19,17,0,5,0,45,24,0,10,0,34.80%,0.623,0.679,1.302,209,15.80%,33,10
Tage Thompson,BUF,W,50,34,34,68,24,15,18:55,14:36,3:27,0:51,19,14,1,6,1,1,23,11,0,4,3,42,25,1,10,4,36.80%,0.68,0.68,1.36,200,17.00%,24,17
Jack Hughes,NJD,C,50,35,32,67,4,15,20:10,16:48,3:17,0:04,29,6,0,5,1,0,18,14,0,10,6,47,20,0,15,7,29.90%,0.7,0.64,1.34,229,15.30%,11,13
Elias Pettersson,VAN,W,50,24,39,63,6,6,19:56,14:31,3:46,1:38,21,2,1,2,2,2,25,13,1,2,0,46,15,2,4,2,23.80%,0.48,0.78,1.26,164,14.60%,45,60
Kirill Kaprizov,MIN,W,51,29,33,62,37,-3,20:47,16:50,3:55,0:01,15,14,0,4,1,5,18,15,0,5,0,33,29,0,9,1,46.80%,0.569,0.647,1.216,191,15.20%,49,18
Sidney Crosby,PIT,C,51,24,38,62,26,6,20:12,16:14,3:53,0:03,19,5,0,6,0,1,26,12,0,8,3,45,17,0,14,3,27.40%,0.471,0.745,1.216,146,16.40%,51,27
Ryan Nugent-Hopkins,EDM,W,52,23,39,62,24,7,19:43,13:59,4:01,1:42,14,8,1,2,0,1,13,25,1,4,0,27,33,2,6,0,53.20%,0.442,0.75,1.192,124,18.60%,34,19
Mitchell Marner,TOR,W,53,19,43,62,18,5,21:10,14:52,3:47,2:30,11,6,2,4,2,1,22,20,1,9,0,33,26,3,13,2,41.90%,0.358,0.811,1.17,130,14.60%,43,31
Mikko Rantanen,COL,W,50,34,27,61,42,4,22:50,18:28,4:19,0:02,27,7,0,5,2,2,12,15,0,3,0,39,22,0,8,2,36.10%,0.68,0.54,1.22,189,18.00%,55,25
Zach Hyman,EDM,W,51,26,34,60,27,16,20:32,16:13,3:27,0:51,13,13,0,1,0,0,28,6,0,12,0,41,19,0,13,0,31.70%,0.51,0.667,1.176,195,13.30%,51,16
Brayden Point,TBL,W,51,32,27,59,7,8,19:46,15:49,3:55,0:01,21,11,0,7,1,1,19,8,0,6,1,40,19,0,13,2,32.20%,0.627,0.529,1.157,158,20.30%,18,20
William Nylander,TOR,W,53,28,31,59,14,14,18:37,14:35,3:47,0:14,21,7,0,4,2,0,19,12,0,7,1,40,19,0,11,3,32.20%,0.528,0.585,1.113,192,14.60%,14,14
Kyle Connor,WPG,W,52,24,35,59,10,6,20:31,16:38,3:29,0:23,18,6,0,8,2,0,21,14,0,4,0,39,20,0,12,2,33.90%,0.462,0.673,1.135,178,13.50%,32,16
Bo Horvat,NYI,W,52,33,24,57,12,5,20:40,15:10,3:52,1:38,19,11,3,4,1,0,15,8,1,2,0,34,19,4,6,1,33.30%,0.635,0.462,1.096,153,21.60%,41,33
Steven Stamkos,TBL,W,51,24,33,57,26,7,19:25,14:52,4:08,0:24,15,9,0,4,2,0,20,13,0,7,2,35,22,0,11,4,38.60%,0.471,0.647,1.118,177,13.60%,59,35
